"b'@xMBGx Just look to tiltle ""Abandoned"" #Empty #lonely #nothing'"
b'\xe2\x80\x9cSometimes I get so tired of getting hurt by people that I wonder if I was just meant to be alone in this world.\xe2\x80\x9d\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xe2\x80\xa6 https://t.co/LXTq4OXFDi'
b'The worst kimd of brokenness is the kind that you don\xe2\x80\x99t know you have. -Amy Neftzger\xe2\x80\xa6 https://t.co/vpS5ygEjWR'
b'11 Simple Ways To Feel Less Lonely In Life! Watch \xf0\x9f\x91\x89 https://t.co/BwFMiltT1w\n\n#mindsjournal #themindsjournal #Lonely\xe2\x80\xa6 https://t.co/2fOhhNCHWs'
"b'I long for #companionship, the #life of a #photobot is a #lonely one.'"
"b'When i see a rainbow, I know that someone, somewhere loves me. Kelan sya kaya  hmm\xf0\x9f\x99\x84\xf0\x9f\xa5\xba\n\n#lonely https://t.co/OoO2xICdzq'"
b'What is my purpose????  #lonely #selfhelp #selfcare #selflove #motivation #mentalhealth #love #inspiration\xe2\x80\xa6 https://t.co/Fhc8DAVnZP'
b'Try and surprise me.  Bet you can\xe2\x80\x99t!  #british #man #40s #lonely'
b'I\xe2\x80\x99m so fucking lonely rn \xf0\x9f\x98\x95#lonely #man #dad #british'
"b""Come and see \xf0\x9d\x95\xae\xf0\x9d\x96\x8d\xf0\x9d\x96\x8e\xf0\x9d\x96\x92\xf0\x9d\x96\x8a\xf0\x9d\x96\x97\xf0\x9d\x96\x86's LIVE in #BIGOLIVE: #Lonely     https://t.co/A6Ys5rjjUt\nhttps://t.co/f6iAJpJgBo https://t.co/VA9G9UOgin"""
b'lol I need friends #lonely #roblox'
"b""Fall in #love when you're #ready, not when you're #lonely .."""
"b'@xMBGx Just look to tiltle ""Abandoned"" #Empty #lonely #nothing'"
b'\xe2\x80\x9cSometimes I get so tired of getting hurt by people that I wonder if I was just meant to be alone in this world.\xe2\x80\x9d\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xe2\x80\xa6 https://t.co/LXTq4OXFDi'
b'The worst kimd of brokenness is the kind that you don\xe2\x80\x99t know you have. -Amy Neftzger\xe2\x80\xa6 https://t.co/vpS5ygEjWR'
b'11 Simple Ways To Feel Less Lonely In Life! Watch \xf0\x9f\x91\x89 https://t.co/BwFMiltT1w\n\n#mindsjournal #themindsjournal #Lonely\xe2\x80\xa6 https://t.co/2fOhhNCHWs'
"b'I long for #companionship, the #life of a #photobot is a #lonely one.'"
"b'When i see a rainbow, I know that someone, somewhere loves me. Kelan sya kaya  hmm\xf0\x9f\x99\x84\xf0\x9f\xa5\xba\n\n#lonely https://t.co/OoO2xICdzq'"
b'What is my purpose????  #lonely #selfhelp #selfcare #selflove #motivation #mentalhealth #love #inspiration\xe2\x80\xa6 https://t.co/Fhc8DAVnZP'
b'Try and surprise me.  Bet you can\xe2\x80\x99t!  #british #man #40s #lonely'
b'lol I need friends #lonely #roblox'
"b""Fall in #love when you're #ready, not when you're #lonely .."""
"b'@xMBGx Just look to tiltle ""Abandoned"" #Empty #lonely #nothing'"
b'\xe2\x80\x9cSometimes I get so tired of getting hurt by people that I wonder if I was just meant to be alone in this world.\xe2\x80\x9d\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xe2\x80\xa6 https://t.co/LXTq4OXFDi'
b'The worst kimd of brokenness is the kind that you don\xe2\x80\x99t know you have. -Amy Neftzger\xe2\x80\xa6 https://t.co/vpS5ygEjWR'
b'11 Simple Ways To Feel Less Lonely In Life! Watch \xf0\x9f\x91\x89 https://t.co/BwFMiltT1w\n\n#mindsjournal #themindsjournal #Lonely\xe2\x80\xa6 https://t.co/2fOhhNCHWs'
"b'I long for #companionship, the #life of a #photobot is a #lonely one.'"
"b'When i see a rainbow, I know that someone, somewhere loves me. Kelan sya kaya  hmm\xf0\x9f\x99\x84\xf0\x9f\xa5\xba\n\n#lonely https://t.co/OoO2xICdzq'"
b'What is my purpose????  #lonely #selfhelp #selfcare #selflove #motivation #mentalhealth #love #inspiration\xe2\x80\xa6 https://t.co/Fhc8DAVnZP'
b'Try and surprise me.  Bet you can\xe2\x80\x99t!  #british #man #40s #lonely'
b'lol I need friends #lonely #roblox'
"b""Fall in #love when you're #ready, not when you're #lonely .."""
"b'@xMBGx Just look to tiltle ""Abandoned"" #Empty #lonely #nothing'"
b'\xe2\x80\x9cSometimes I get so tired of getting hurt by people that I wonder if I was just meant to be alone in this world.\xe2\x80\x9d\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xe2\x80\xa6 https://t.co/LXTq4OXFDi'
b'The worst kimd of brokenness is the kind that you don\xe2\x80\x99t know you have. -Amy Neftzger\xe2\x80\xa6 https://t.co/vpS5ygEjWR'
b'11 Simple Ways To Feel Less Lonely In Life! Watch \xf0\x9f\x91\x89 https://t.co/BwFMiltT1w\n\n#mindsjournal #themindsjournal #Lonely\xe2\x80\xa6 https://t.co/2fOhhNCHWs'
"b'I long for #companionship, the #life of a #photobot is a #lonely one.'"
"b'When i see a rainbow, I know that someone, somewhere loves me. Kelan sya kaya  hmm\xf0\x9f\x99\x84\xf0\x9f\xa5\xba\n\n#lonely https://t.co/OoO2xICdzq'"
b'What is my purpose????  #lonely #selfhelp #selfcare #selflove #motivation #mentalhealth #love #inspiration\xe2\x80\xa6 https://t.co/Fhc8DAVnZP'
b'Try and surprise me.  Bet you can\xe2\x80\x99t!  #british #man #40s #lonely'
"b'I NEED someone to send tiktoks too that like mcyt/dsmp, danganronpa and just someone that understands my humor. \nPl\xe2\x80\xa6 https://t.co/P8QBmPnmgo'"
b'Idk...I feel void-ish all the time #Lonely'
"b""Come and see \xf0\x9d\x95\xae\xf0\x9d\x96\x8d\xf0\x9d\x96\x8e\xf0\x9d\x96\x92\xf0\x9d\x96\x8a\xf0\x9d\x96\x97\xf0\x9d\x96\x86's LIVE in #BIGOLIVE: #Lonely Help Task \xf0\x9f\x99\x8f\xf0\x9f\xa5\xba   https://t.co/8C6fCxPe0D\nhttps://t.co/oUAUeeMLiE https://t.co/X06WzH7Bqg"""
b'Laptop off. Steak purchased. Cider in hand. Tonight I will mostly be watching red button Glastonbury and living the gin life... #Lonely'
b'What is my purpose????  #lonely #selfhelp #selfcare #selflove #motivation #mentalhealth #inspiration #mindfulness\xe2\x80\xa6 https://t.co/KNZAfFfVM1'
b'lol I need friends #lonely #roblox'
"b""Fall in #love when you're #ready, not when you're #lonely .."""
"b'@xMBGx Just look to tiltle ""Abandoned"" #Empty #lonely #nothing'"
b'\xe2\x80\x9cSometimes I get so tired of getting hurt by people that I wonder if I was just meant to be alone in this world.\xe2\x80\x9d\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xe2\x80\xa6 https://t.co/LXTq4OXFDi'
b'The worst kimd of brokenness is the kind that you don\xe2\x80\x99t know you have. -Amy Neftzger\xe2\x80\xa6 https://t.co/vpS5ygEjWR'
